Time(s)	Flow ID	Throughput(Mbps)
28.3	5	338.974
28.4	1	308.762
28.4	3	312.653
28.4	5	330.963
28.5	1	298.462
28.5	3	338.402
28.5	5	315.628
28.6	1	302.582
28.6	3	337.944
28.6	5	311.852
28.7	1	303.154
28.7	3	318.489
28.7	5	330.734
28.8	1	295.715
28.8	3	321.007
28.8	5	335.655
28.9	1	323.982
28.9	3	328.903
28.9	5	299.606
29	1	304.756
29	3	355.911
29	5	291.71
29.1	1	300.751
29.1	3	338.631
29.1	5	312.996
29.2	1	326.385
29.2	3	329.247
29.2	5	296.745
29.3	1	325.356
29.3	3	306.587
29.3	5	320.549
29.4	1	358.2
29.4	3	299.492
29.4	5	294.685
29.5	1	368.385
29.5	3	320.32
29.5	5	263.672
29.6	1	349.274
29.6	3	324.44
29.6	5	278.664
29.7	1	312.996
29.7	3	344.238
29.7	5	295.143
29.8	1	301.094
29.8	3	361.633
29.8	5	289.764
29.9	1	282.211
29.9	3	327.187
29.9	5	342.979
30	1	295.372
30	3	317.116
30	5	339.89
30	7	0
30.1	1	253.487
30.1	3	287.59
30.1	5	319.519
30.1	7	91.7691
30.2	1	243.53
30.2	3	260.696
30.2	5	247.993
30.2	7	200.272
30.3	1	255.432
30.3	3	242.615
30.3	5	203.476
30.3	7	250.854
30.4	1	252.342
30.4	3	236.206
30.4	5	248.222
30.4	7	215.607
30.5	1	269.508
30.5	3	246.964
30.5	5	190.086
30.5	7	245.819
30.6	1	245.018
30.6	3	246.735
30.6	5	191.116
30.6	7	269.623
30.7	1	221.443
30.7	3	238.838
30.7	5	192.146
30.7	7	299.95
30.8	1	230.484
30.8	3	246.62
30.8	5	211.143
30.8	7	264.13
30.9	1	238.495
30.9	3	230.942
30.9	5	235.748
30.9	7	247.192
31	1	226.25
31	3	228.195
31	5	240.898
31	7	257.149
31.1	1	229.912
31.1	3	230.141
31.1	5	250.969
31.1	7	241.356
31.2	1	227.165
31.2	3	253.143
31.2	5	232.315
31.2	7	239.754
31.3	1	200.386
31.3	3	249.939
31.3	5	250.511
31.3	7	251.541
31.4	1	215.378
31.4	3	236.435
31.4	5	265.045
31.4	7	235.634
31.5	1	252.571
31.5	3	257.149
31.5	5	227.394
31.5	7	215.263
31.6	1	245.476
31.6	3	255.89
31.6	5	246.849
31.6	7	204.163
31.7	1	271.912
31.7	3	237.579
31.7	5	224.533
31.7	7	218.353
31.8	1	263.443
31.8	3	228.882
31.8	5	245.59
31.8	7	214.577
31.9	1	249.252
31.9	3	262.413
31.9	5	206.909
31.9	7	233.803
32	1	281.868
32	3	247.192
32	5	204.163
32	7	219.154
32.1	1	261.726
32.1	3	242.157
32.1	5	220.299
32.1	7	228.195
32.2	1	260.811
32.2	3	218.239
32.2	5	207.024
32.2	7	266.304
32.3	1	265.617
32.3	3	218.468
32.3	5	221.558
32.3	7	246.849
32.4	1	243.416
32.4	3	244.56
32.4	5	212.517
32.4	7	251.884
32.5	1	228.424
32.5	3	262.642
32.5	5	218.124
32.5	7	243.187
32.6	1	217.209
32.6	3	282.898
32.6	5	216.293
32.6	7	235.977
32.7	1	227.509
32.7	3	275.803
32.7	5	215.721
32.7	7	233.459
32.8	1	230.827
32.8	3	267.22
32.8	5	221.1
32.8	7	233.231
32.9	1	228.081
32.9	3	261.383
32.9	5	229.683
32.9	7	233.231
33	1	251.198
33	3	256.462
33	5	234.604
33	7	210.114
